Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
77675,90783,RandomCorrect,0,failure,insight,correct,,
90783,70706,RandomCorrect,1,failure,unknown-correct,correct,,
70706,73812,RandomCorrect,2,failure,unknown-correct,correct,,
73812,61922,RandomCorrect,3,failure,unknown-correct,correct,,
61922,76413,RandomCorrect,4,failure,unknown-correct,correct,,
76413,30935,RandomCorrect,5,failure,insight,correct,,
30935,10562,RandomCorrect,6,failure,insight,correct,,
10562,75773,RandomCorrect,7,failure,insight,correct,,
75773,33447,RandomCorrect,8,failure,unknown-correct,correct,,
33447,46553,RandomCorrect,9,failure,insight,correct,,
46553,46553,RandomCorrect,10,failure,insight,correct,,
46553,10562,RandomCorrect,11,failure,insight,correct,,
10562,46479,RandomCorrect,12,failure,insight,correct,,
46479,30935,RandomCorrect,13,failure,insight,correct,,
30935,30935,RandomCorrect,14,failure,insight,correct,,
30935,30935,RandomCorrect,15,failure,insight,correct,,
30935,70315,RandomCorrect,16,failure,,,,
79300,75901,RandomCorrect,0,failure,unknown-correct,correct,,
75901,56706,RandomCorrect,1,failure,unknown-correct,correct,,
56706,31161,RandomCorrect,2,failure,insight,correct,,
31161,82543,RandomCorrect,3,failure,insight,correct,,
82543,26558,RandomCorrect,4,failure,insight,correct,,
26558,65633,RandomCorrect,5,failure,unknown-correct,correct,,
65633,80755,RandomCorrect,6,failure,insight,correct,,
80755,86078,RandomCorrect,7,failure,insight,correct,,
86078,27514,RandomCorrect,8,failure,insight,correct,,
27514,66203,RandomCorrect,9,failure,insight,correct,,
66203,27514,RandomCorrect,10,failure,insight,correct,,
27514,66203,RandomCorrect,11,failure,insight,correct,,
66203,66203,RandomCorrect,12,failure,insight,correct,,
66203,66203,RandomCorrect,13,failure,insight,correct,,
66203,66203,RandomCorrect,14,failure,insight,correct,,
66203,66203,RandomCorrect,15,failure,insight,correct,,
66203,47111,RandomCorrect,16,failure,,,,
84661,48802,RandomCorrect,0,failure,unknown-correct,correct,,
48802,21903,RandomCorrect,1,failure,insight,correct,,
21903,40990,RandomCorrect,2,failure,unknown-correct,correct,,
40990,53584,RandomCorrect,3,failure,unknown-correct,correct,,
53584,87869,RandomCorrect,4,failure,insight,correct,,
87869,87869,RandomCorrect,5,failure,insight,correct,,
87869,87869,RandomCorrect,6,failure,insight,correct,,
87869,63510,RandomCorrect,7,failure,insight,correct,,
63510,87869,RandomCorrect,8,failure,insight,correct,,
87869,87869,RandomCorrect,9,failure,insight,correct,,
87869,87869,RandomCorrect,10,failure,insight,correct,,
87869,87869,RandomCorrect,11,failure,insight,correct,,
87869,87869,RandomCorrect,12,failure,insight,correct,,
87869,11238,RandomCorrect,13,failure,insight,correct,,
11238,87869,RandomCorrect,14,failure,insight,correct,,
87869,87869,RandomCorrect,15,failure,insight,correct,,
87869,60784,RandomCorrect,16,failure,,,,
13430,25189,RandomCorrect,0,failure,unknown-correct,correct,,
