Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
43472,31519,e1_kf,0,failure,insight,correct,,
31519,12482,e1_kf,1,failure,insight,correct,,
12482,99894,e1_kf,2,failure,insight,correct,,
99894,52710,e1_kf,3,failure,insight,correct,,
52710,29419,e1_kf,4,failure,,,,
33195,17112,e1_kf,0,failure,insight,correct,,
17112,17112,e1_kf,1,failure,insight,correct,,
17112,67716,e1_kf,2,failure,insight,correct,,
67716,39140,e1_kf,3,failure,insight,correct,,
39140,86538,e1_kf,4,failure,insight,correct,,
86538,77239,e1_kf,5,failure,insight,correct,,
77239,13486,e1_kf,6,failure,insight,correct,,
13486,13486,e1_kf,7,failure,insight,correct,,
13486,13486,e1_kf,8,failure,insight,correct,,
13486,94532,e1_kf,9,failure,unknown-correct,correct,,
94532,77239,e1_kf,10,failure,insight,correct,,
77239,77239,e1_kf,11,failure,insight,correct,,
77239,66147,e1_kf,12,failure,,,,
27012,22685,e1_kf,0,failure,insight,correct,,
22685,29621,e1_kf,1,failure,insight,correct,,
29621,29621,e1_kf,2,failure,insight,correct,,
29621,29621,e1_kf,3,failure,insight,correct,,
29621,29621,e1_kf,4,failure,insight,correct,,
29621,29621,e1_kf,5,failure,insight,correct,,
29621,29621,e1_kf,6,failure,insight,correct,,
29621,87321,e1_kf,7,failure,insight,correct,,
87321,75223,e1_kf,8,failure,insight,correct,,
75223,29621,e1_kf,9,failure,insight,correct,,
29621,29621,e1_kf,10,failure,insight,correct,,
29621,97285,e1_kf,11,failure,insight,correct,,
97285,42107,e1_kf,12,failure,insight,correct,,
42107,99943,e1_kf,13,failure,,,,
34963,82282,e1_kf,0,failure,insight,correct,,
82282,81173,e1_kf,1,failure,insight,correct,,
81173,81173,e1_kf,2,failure,insight,correct,,
81173,81173,e1_kf,3,failure,insight,correct,,
81173,81173,e1_kf,4,failure,insight,correct,,
81173,81173,e1_kf,5,failure,insight,correct,,
81173,81173,e1_kf,6,failure,insight,correct,,
81173,79882,e1_kf,7,failure,insight,correct,,
79882,51771,e1_kf,8,failure,insight,correct,,
51771,81173,e1_kf,9,failure,insight,correct,,
81173,25530,e1_kf,10,failure,insight,correct,,
25530,81173,e1_kf,11,failure,insight,correct,,
81173,81173,e1_kf,12,failure,insight,correct,,
81173,91455,e1_kf,13,failure,insight,correct,,
91455,35058,e1_kf,14,failure,,,,
14529,88677,e1_kf,0,failure,insight,correct,,
88677,23495,e1_kf,1,failure,unknown-correct,correct,,
23495,84061,e1_kf,2,failure,insight,correct,,
84061,74867,e1_kf,3,failure,insight,correct,,
74867,95891,e1_kf,4,failure,,,,
55879,72025,e1_kf,0,failure,insight,correct,,
72025,43325,e1_kf,1,failure,insight,correct,,
43325,34041,e1_kf,2,failure,insight,correct,,
34041,56514,e1_kf,3,failure,insight,correct,,
56514,85037,e1_kf,4,failure,,,,
95993,65892,e1_kf,0,failure,insight,correct,,
65892,33946,e1_kf,1,failure,insight,correct,,
33946,33946,e1_kf,2,failure,insight,correct,,
33946,33946,e1_kf,3,failure,insight,correct,,
33946,33946,e1_kf,4,failure,insight,correct,,
33946,33946,e1_kf,5,failure,insight,correct,,
33946,33946,e1_kf,6,failure,insight,correct,,
33946,55334,e1_kf,7,failure,insight,correct,,
55334,40178,e1_kf,8,failure,unknown-correct,correct,,
