user,puzzle,loops,attempts,num_incorrect,num_correct,is_correct,total_time,user_category,user_by_loops,challenge_scale,enjoyment_scale
ZlJzFCsPB3V4wEsqveKTwcV5nx72,4,0,2,0,48,True,190098,novice,novice_0,5.0,7.0
OfLWY14UJBawDt3nrTzizbwtNYk2,10,3,7,0,8,False,345515,expert,expert_3,5.714285714285714,5.0
iZbaD76kAwMvnqig7240x3hPXNi1,4,0,2,0,48,True,604553,intermediate,intermediate_0,4.714285714285714,5.4
TagF41m6X8NLivBb8zWRyKztkFZ2,10,3,2,0,33,False,658421,intermediate,intermediate_3,6.571428571428571,1.0
dd6y1VnzoHeHmBUyd5ybTxAZJ6y1,0,0,5,0,34,False,484070,intermediate,intermediate_0,5.0,6.0
ZlJzFCsPB3V4wEsqveKTwcV5nx72,15,5,2,0,48,True,168184,novice,novice_5,4.428571428571429,7.0
rY6Ge3G3wzaj3zHOiNeZWH4pV213,3,5,2,0,48,True,444749,expert,expert_5,4.285714285714286,5.6
fk7G9fZvIHdeKmRInwzkNRDOT7E3,13,1,2,0,48,True,239918,intermediate,intermediate_1,-1,-1
OfLWY14UJBawDt3nrTzizbwtNYk2,5,1,3,9,17,False,371103,expert,expert_1,6.0,5.2
ZlJzFCsPB3V4wEsqveKTwcV5nx72,10,3,2,0,48,True,737576,novice,novice_3,5.142857142857143,6.8
x8wodlAEVjNeM3hvYLZn1TZBTYt2,9,1,2,0,48,True,415889,expert,expert_1,4.0,5.6
EL7v0TsRB9QLo2e5SyHoUzvbuX33,8,0,4,1,6,False,147313,expert,expert_0,5.285714285714286,4.4
