gridExp,logicExp,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
2,2,4989,11,expert,154,121509043.0,789019.7597402597
2,2,236420,11,expert,1,463661.0,463661.0
2,2,93023,11,expert,1,437262.0,437262.0
1,2,44448,11,intermediate,1,275863.0,275863.0
1,2,63013,11,intermediate,1,485116.0,485116.0
1,2,79098,11,intermediate,1,397698.0,397698.0
1,2,496105,11,intermediate,1,71947.0,71947.0
1,1,46543,11,novice,1,156265.0,156265.0
1,1,125561,11,novice,1,639966.0,639966.0
1,1,456707,11,novice,1,624394.0,624394.0
2,2,92008,11,expert,1,210140.0,210140.0
2,2,12743,11,expert,3,716618.0,238872.66666666666
1,1,345814,11,novice,1,415909.0,415909.0
1,1,439830,11,novice,4,6231220.0,1557805.0
1,1,261962,11,novice,1,396173.0,396173.0
1,2,10194,11,intermediate,2,10639348.0,5319674.0
2,2,76451,11,expert,1,170530.0,170530.0
1,1,57169,11,novice,3,297979.0,99326.33333333333
1,1,339198,11,novice,1,192296.0,192296.0
2,2,47504,11,expert,2,1054433.0,527216.5
1,2,61937,11,intermediate,1,175577.0,175577.0
2,2,37408,11,expert,1,415889.0,415889.0
1,2,107973,11,intermediate,1,186484.0,186484.0
2,2,20155,11,expert,1,68938.0,68938.0
2,2,29191,11,expert,1,147313.0,147313.0
1,2,57582,11,intermediate,2,179245.0,89622.5
1,2,62754,11,intermediate,1,7275889.0,7275889.0
1,1,229806,11,novice,2,772553.0,386276.5
1,2,23694,11,intermediate,1,252575.0,252575.0
2,2,122219,11,expert,1,444749.0,444749.0
1,1,196254,11,novice,3,1095858.0,365286.0
1,2,210459,11,intermediate,2,353394.0,176697.0
1,2,129985,11,intermediate,2,2086185.0,1043092.5
1,2,52690,11,intermediate,1,238012.0,238012.0
1,1,42798,11,novice,1,391663.0,391663.0
2,2,60576,11,expert,1,1239083.0,1239083.0
2,2,87804,11,expert,1,128946.0,128946.0
2,1,345979,11,expert,1,504323.0,504323.0
1,2,135702,11,intermediate,1,239918.0,239918.0
1,2,46294,11,intermediate,1,407456.0,407456.0
1,1,206576,11,novice,1,226962.0,226962.0
1,2,220384,11,intermediate,2,284352.0,142176.0
1,2,63022,11,intermediate,1,604553.0,604553.0
1,2,73479,11,intermediate,2,1316436.0,658218.0
1,1,1415156,11,novice,1,67378.0,67378.0
1,1,209000,11,novice,1,178739.0,178739.0
2,2,39921,11,expert,1,201298.0,201298.0
2,2,45029,11,expert,1,502584.0,502584.0
1,2,59551,11,intermediate,1,438927.0,438927.0
1,1,80897,11,novice,1,618113.0,618113.0
1,2,185875,11,intermediate,1,1272283.0,1272283.0
1,1,118648,11,novice,1,266581.0,266581.0
1,2,34756,11,intermediate,1,228862.0,228862.0
1,2,614590,11,intermediate,1,832106.0,832106.0
1,2,173132,11,intermediate,1,653317.0,653317.0
1,2,190747,11,intermediate,1,609188.0,609188.0
1,1,50379,11,novice,1,207937.0,207937.0
1,2,46588,11,intermediate,1,246322.0,246322.0
1,2,454407,11,intermediate,1,658421.0,658421.0
2,2,71929,11,expert,1,93100.0,93100.0
2,2,28562,11,expert,1,598737.0,598737.0
1,2,34719,11,intermediate,1,255033.0,255033.0
2,2,77398,11,expert,1,337650.0,337650.0
2,2,34716,11,expert,4,2362933.0,590733.25
